ts	imei	mwra	c.android.youtube	c.katana	c.android.gm	c.android.chrome	c.dogalize	c.updateassist	c.android.vending	c.UCMobile.x86	c.UCMobile.intl	c.raider
2018-05-05 10:00:00	8630330696303481495	1.00000	12.26513	9.00831	9.49543	11.28728	10.38606	37.47582	63.36036	41.38373	83.30335	74.60602
2018-05-05 10:01:00	359043379931766510	0.00000	10.99262	9.58422	13.94219	13.57270	14.60374	26.04814	10.12276	39.58289	2.53433	69.83137
2018-05-05 10:02:00	8630330696303481107	1.00000	15.36004	10.17672	11.29302	13.42295	11.46890	62.91819	43.93041	65.39351	66.58459	11.94376
2018-05-05 10:03:00	863033069630348180	0.00000	9.85083	10.50735	11.33704	9.01125	12.00125	44.88155	67.47714	33.18430	40.30341	37.94169
2018-05-05 10:04:00	8630330696303482360	0.00000	14.09594	11.07454	9.21168	8.94069	12.61083	61.19159	64.32489	32.20124	63.26817	99.50581
2018-05-05 10:05:00	359043379931766072	1.00000	10.73214	7.39687	8.37860	13.66063	12.70492	55.28482	56.94996	93.53404	93.04434	46.05614
2018-05-05 10:06:00	359043379931766528	1.00000	10.28840	7.74494	11.11266	8.42264	12.11134	49.57076	40.49304	43.07459	41.21430	54.57574
2018-05-05 10:07:00	359043379931766858	0.00000	6.63473	8.95061	7.69906	10.14023	13.99826	53.99147	49.63235	36.21508	68.21001	90.97861
2018-05-05 10:08:00	8630330696303481081	0.00000	8.17578	16.02203	8.80588	9.48897	16.76732	65.06994	50.35637	26.77818	96.80622	49.81705
2018-05-05 10:09:00	359043379931766510	1.00000	7.81709	7.26397	11.64416	14.00750	9.35891	63.82383	43.15908	6.41180	9.69657	68.04343
2018-05-05 10:10:00	863033069630348586	0.00000	6.59993	15.22115	8.57978	11.80486	12.29182	38.55455	62.05381	75.69778	61.41096	88.83300
2018-05-05 10:11:00	8630330696303481354	0.00000	8.37910	13.74433	8.83486	8.78477	12.22298	75.44887	37.98702	33.59266	68.63426	13.93296
2018-05-05 10:12:00	8630330696303481545	0.00000	12.78792	12.37135	9.10014	9.68924	8.70903	42.98092	30.50496	21.51603	65.29703	96.91136
2018-05-05 10:13:00	359043379931766718	1.00000	7.23847	6.86826	9.76062	14.17764	12.65975	37.02995	40.39987	11.74766	42.16371	50.07738
2018-05-05 10:14:00	8630330696303481743	1.00000	11.97842	9.35238	11.44798	12.12107	14.71309	36.03874	59.03388	92.72270	59.94198	76.65782
2018-05-05 10:15:00	863033069630348081	1.00000	9.09652	13.83657	8.62462	10.28390	7.61370	45.50136	59.68684	60.53752	74.55968	15.40831
2018-05-05 10:16:00	863033069630348453	0.00000	7.68431	13.49514	7.43909	12.48966	12.83426	65.00706	64.32241	57.74936	99.89555	21.84162
2018-05-05 10:17:00	3590433799317661917	0.00000	12.57223	11.61288	10.92136	6.59702	14.79974	60.89954	58.90809	95.30371	11.58411	66.81979
2018-05-05 10:18:00	8630330696303481289	1.00000	10.21821	8.09270	14.36652	12.77008	14.08103	52.88195	43.34234	12.97024	31.95899	9.97274
2018-05-05 10:19:00	3590433799317661081	1.00000	6.50504	8.17187	10.46345	11.77322	11.88538	84.85050	29.43602	4.91013	31.97762	47.86881
2018-05-05 10:20:00	8630330696303481008	0.00000	12.74443	13.93618	10.86442	9.18285	9.51171	39.40475	49.05560	42.19739	45.78062	36.10374
