latitude	longitude	store_name	code	location	imei
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	8630330696303481735
16.68911	98.50893	Myawadi	MM	Asia/Yangon	8630330696303481164
38.96667	-0.18333	Gandia	ES	Europe/Madrid	8630330696303481057
48.52961	12.16179	Landshut	DE	Europe/Berlin	359043379931766353
56.85836	35.90057	Tver	RU	Europe/Moscow	3590433799317661941
38.72706	-9.24671	Carnaxide	PT	Europe/Lisbon	359043379931766429
43.35071	46.10925	Gudermes	RU	Europe/Moscow	359043379931766759
34.85	117.33333	Taozhuang	CN	Asia/Shanghai	863033069630348560
51.65333	5.2875	Vught	NL	Europe/Amsterdam	8630330696303481073
54.60528	18.34717	Reda	PL	Europe/Warsaw	3590433799317661727
32.57756	71.52847	Mianwali	PK	Asia/Karachi	863033069630348024
48.79325	2.29275	Fontenay-aux-Roses	FR	Europe/Paris	8630330696303482113
55.1904	30.2049	Vitebsk	BY	Europe/Minsk	359043379931766700
26.44931	91.61356	Rangia	IN	Asia/Kolkata	863033069630348875
26.9423	68.11759	Tharu Shah	PK	Asia/Karachi	3590433799317661792
51.12794	4.21372	Temse	BE	Europe/Brussels	3590433799317661735
51.21667	6.26667	Schwalmtal	DE	Europe/Berlin	863033069630348149
37.74615	-25.66689	Ponta Delgada	PT	Atlantic/Azores	3590433799317661677
23.5654	119.58627	Magong	TW	Asia/Taipei	3590433799317662204
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	8630330696303482287
26.76628	83.36889	Gorakhpur	IN	Asia/Kolkata	3590433799317661560
9.89206	43.38531	Baki	SO	Africa/Mogadishu	8630330696303482378
0.76755	24.43973	Yangambi	CD	Africa/Lubumbashi	359043379931766239
-11.94306	-76.70944	Chosica	PE	America/Lima	8630330696303482139
49.07866	30.96755	Zvenihorodka	UA	Europe/Kyiv	8630330696303481008
5.27247	-3.59625	Bonoua	CI	Africa/Abidjan	8630330696303482154
38.55632	69.01354	Vahdat	TJ	Asia/Dushanbe	359043379931766627
-33.59217	-70.6996	San Bernardo	CL	America/Santiago	8630330696303482485
64.5635	39.8302	Severodvinsk	RU	Europe/Moscow	8630330696303481883
25.67927	-80.31727	Kendall	US	America/New_York	8630330696303481164
45.49428	-122.86705	Aloha	US	America/Los_Angeles	863033069630348222
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	3590433799317662220
46.75451	33.34864	Nova Kakhovka	UA	Europe/Kyiv	8630330696303481602
47.80527	-122.24064	Bothell West	US	America/Los_Angeles	359043379931766312
39.71734	-74.96933	Sicklerville	US	America/New_York	863033069630348537
45.47885	133.42825	Lesozavodsk	RU	Asia/Vladivostok	863033069630348602
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481495
8.88649	2.59753	Tchaourou	BJ	Africa/Porto-Novo	8630330696303481461
35.85	117.7	Dongdu	CN	Asia/Shanghai	3590433799317662071
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	3590433799317662246
41.09822	120.74792	Nanpiao	CN	Asia/Shanghai	3590433799317661347
42.62833	20.89389	Glogovac	XK	Europe/Belgrade	3590433799317661123
60.2052	24.6522	Espoo	FI	Europe/Helsinki	3590433799317662329
45.99194	29.41824	Artsyz	UA	Europe/Kyiv	863033069630348255
23.73333	114.68333	Heyuan	CN	Asia/Shanghai	3590433799317662196
59.80917	30.38167	Shushary	RU	Europe/Moscow	3590433799317661990
32.65246	51.67462	Isfahan	IR	Asia/Tehran	8630330696303482360
56.11281	69.49015	Ishim	RU	Asia/Yekaterinburg	863033069630348354
22.88783	84.13864	Jashpurnagar	IN	Asia/Kolkata	8630330696303482378
36.08497	9.37082	Siliana	TN	Africa/Tunis	8630330696303481222
40.78206	72.34424	Andijon	UZ	Asia/Tashkent	3590433799317661925
34.95303	-120.43572	Santa Maria	US	America/Los_Angeles	863033069630348024
14.66	120.56528	Pilar	PH	Asia/Manila	8630330696303481941
43.71032	-1.05366	Dax	FR	Europe/Paris	359043379931766874
39.72943	-104.83192	Aurora	US	America/Denver	8630330696303482493
55.25	24.75	Ukmerge	LT	Europe/Vilnius	359043379931766700
32.57756	71.52847	Mianwali	PK	Asia/Karachi	3590433799317661735
-30.60106	-71.19901	Ovalle	CL	America/Santiago	359043379931766155
53.19146	-2.52398	Winsford	GB	Europe/London	359043379931766254
-8.99167	125.21972	Maliana	TL	Asia/Dili	8630330696303481487
22.10194	85.37752	Barbil	IN	Asia/Kolkata	863033069630348412
