ts	imei	mwra	p.android.gm	p.android.externalstorage	p.android.chrome	p.system	p.android.settings	p.android.packageinstaller	p.android.documentsui	p.google	p.notifier	p.olauncher	p.android.defcontainer	p.android.vending	p.process.gapps	p.simulator	p.dogalize	p.android.gms	p.browser.provider	p.gms.persistent	p.katana	p.inputmethod.latin
2018-05-05 10:00:00	8630330696303481495	1.00000	8.86395	13.02477	10.86750	7.49424	15.51358	9.41107	15.39190	0.00762	44.11780	44.69713	44.94347	99.03688	54.05561	47.74283	62.14289	28.71385	32.05187	86.35658	79.93212	65.50034
2018-05-05 10:01:00	359043379931766510	0.00000	9.91497	14.95342	8.75484	11.12868	12.84456	9.83628	14.32174	0.00219	29.72748	43.83493	30.23815	24.04779	83.70527	10.86666	82.33455	76.61692	32.05482	98.16903	7.14569	53.82484
2018-05-05 10:02:00	8630330696303481107	1.00000	8.85825	12.41158	6.81129	6.27154	14.63611	11.36688	11.93349	0.16783	43.24229	47.68948	52.19960	2.33330	6.62872	51.04675	28.04786	29.14320	50.56621	84.50028	57.20779	58.70091
2018-05-05 10:03:00	863033069630348180	0.00000	9.10183	14.59227	8.36162	13.74939	12.17126	11.66347	12.27116	0.00073	73.31496	41.61872	68.17462	25.85253	10.93414	37.06926	47.92182	34.65300	14.38753	44.09099	41.96218	75.97173
2018-05-05 10:04:00	8630330696303482360	0.00000	9.46824	12.61537	14.89910	7.73386	12.17794	14.30100	13.77368	0.04746	51.59302	70.02779	54.84178	6.55989	70.29777	76.34902	39.33797	7.34483	27.86712	95.83795	55.63924	66.55716
2018-05-05 10:05:00	359043379931766072	1.00000	11.59539	7.17805	11.45726	9.12999	9.61329	8.03517	12.93229	0.00168	49.41728	43.07248	41.66273	94.42607	4.77743	61.00873	45.21804	98.57372	87.19517	73.44409	1.87979	96.65631
2018-05-05 10:06:00	359043379931766528	1.00000	9.91015	13.47978	14.55761	6.01933	12.40058	6.63927	13.40217	0.00111	35.98345	56.71121	40.99007	91.27669	6.69199	40.41447	49.00661	68.59109	94.31442	2.23391	54.40443	95.50455
2018-05-05 10:07:00	359043379931766858	0.00000	8.80122	11.28836	12.14175	12.20045	8.85360	10.19600	10.72095	0.00010	48.02744	41.43105	64.20233	14.24956	61.69014	4.09319	42.31022	4.82212	15.20934	53.94759	20.98954	5.11764
2018-05-05 10:08:00	8630330696303481081	0.00000	13.92022	11.65715	11.99664	12.60630	15.00001	12.53885	10.83176	0.00021	40.80076	29.82202	61.27494	79.67910	30.19156	37.50487	43.07506	38.74520	92.30950	78.89764	5.85580	76.56187
2018-05-05 10:09:00	359043379931766510	1.00000	12.70992	11.26281	12.85657	9.33277	9.39144	7.04838	11.73236	0.00014	76.28664	42.48943	54.97409	40.40831	56.88268	42.81830	72.62097	26.36301	73.06394	59.15604	15.05987	68.79437
2018-05-05 10:10:00	863033069630348586	0.00000	11.89479	14.20245	12.57287	12.83909	14.09684	13.89568	11.41894	0.00008	39.68879	60.96156	68.57224	41.75048	67.01884	89.42782	68.49691	27.13379	17.04293	34.56710	18.77094	51.09883
2018-05-05 10:11:00	8630330696303481354	0.00000	11.76879	15.09285	15.71338	9.90467	14.76076	11.87619	15.02223	0.00017	45.34204	68.84991	40.35447	94.43186	27.09688	29.56058	74.73497	80.45579	13.66743	11.25479	48.45319	23.48279
2018-05-05 10:12:00	8630330696303481545	0.00000	8.83161	14.59377	10.89284	7.56851	12.34856	11.58601	12.91256	0.01286	54.91862	59.61392	64.12196	7.53299	56.70047	97.97705	64.90570	3.72649	56.39770	20.34599	77.62286	28.29259
2018-05-05 10:13:00	359043379931766718	1.00000	10.44562	8.79207	11.23156	10.20823	9.18674	7.00134	14.28479	0.00011	40.39430	26.09279	52.45238	72.86200	57.82613	76.70432	83.89689	72.25360	57.27576	21.24241	17.89950	80.77986
